date,relative_dates,year_month,stars,review
3 Monaten,2022-11-02 21:52:58.219242,11/2022,4,"Plants and potting soil are more expensive than in Obi. It compensates with some products like druckluftspray that are available, while out of stock at Obi (probably due to the price difference).(Übersetzt von Google)Pflanzen und Blumenerde sind teurer als in Obi. Es kompensiert mit einigen Produkten wie Druckluftspray, die verfügbar sind, während sie bei Obi nicht vorrätig sind (wahrscheinlich aufgrund des Preisunterschieds)."
3 Monaten,2022-11-02 21:52:58.219242,11/2022,3,"Insgesamt in Ordnung, allerdings teilweise ahnungslose Mitarbeiter. Wie in fast jedem Baumarkt."
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,"Wie immer alles gefunden, alles gut sortiert, immer eine freie Kasse. Alles ging wie immer schnell und günstig."
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,Der beste Baumarkt
3 Monaten,2022-11-02 21:52:58.219242,11/2022,4,"Gut sortiert, Viel Personal, das sogar ansprechbar ist."
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,"(Übersetzt von Google) Eine Art Brico Depot oder Dedeman aus Rumänien, aber besser eingerichtet und alles, was Sie wollen, von einem kleinen Nagel bis zu einer wunderbaren Blume, die im Haus oder im Garten platziert wird(Original)Un fel de Brico Depot sau Dedeman din România dar mai bine pus la punct și tot ce vrei de la un cui mic până la o floare minunată depus în casă sau în grădină"
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,3,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,Bester Baumarkt
3 Monaten,2022-11-02 21:52:58.219242,11/2022,4,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,3,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,1,Unfreundliche (W) Mitarbeiter an den Kassen 👎🏻
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,Relativ gut sortierter laden.....nur der Service kann mehr Fach orientiert sein.....
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,(Übersetzt von Google) Ein sehr gut sortierter Laden.(Original)Bardzo dobrze zaopatrzony sklep.
3 Monaten,2022-11-02 21:52:58.219242,11/2022,2,Unfreundlicher und wenig motivierter Mitarbeiter
3 Monaten,2022-11-02 21:52:58.219242,11/2022,3,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,2,"Gut sortiert, guter Service und günstige Preise. Einziger Nachteil von manchen Produkten gibt es nur Markenvarianten. Trockenbauprofile z. B.Leider muss ich meiner Rezension nach Nutzung des Handwerkerservice einige Sterne abziehen. Materialien waren zum Montagezeitpunkt nicht da, die Ansprechpartner nicht erreichbar und meldeten sich auch nicht zurück, der Termin zur Montage wurde mehrfach verschoben, Die Ausführung vor Ort ist mangelhaft. Ein einfaches Projekt zieht sich nun schon seit Mai hin. :-("
3 Monaten,2022-11-02 21:52:58.219242,11/2022,2,"An sich in Ordnung, aber die teilweise lange Wartezeit am Farbmischer nervt! Ich stand hier heute fast 15 Minuten und es kam nur jemand, weil ich mich am Service-Center beschwert habe.Vorher haben mehrere Mitarbeiter mich beim Warten beobachtet, aber keiner kam auf die Idee jemanden zu rufen. Die Dame die dann kam, war mehr als nur unfreundlich und hat dann vor meiner Nase noch eine Diskussion mit dem Azubi (?) angefangen bezüglich der Pausenzeiten. Das war mehr als nur unangenehm und unprofessionell. Ich arbeite auch im Kundenservice und bei uns wäre sowas ein No-Go."
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,Top Auswahl
3 Monaten,2022-11-02 21:52:58.219242,11/2022,4,
3 Monaten,2022-11-02 21:52:58.219242,11/2022,5,Großes Angebot und freundliche Mitarbeiter/innen 👍
3 Monaten,2022-11-02 21:52:58.220253,11/2022,3,
3 Monaten,2022-11-02 21:52:58.220253,11/2022,5,
